reference_set	Freq	pattern	unique	ASC	AT1	AT2	Alpha	B_Mem	B_Naive	B_Plasma	Basal_Brst	Basal_Club_Goblet	Beta	Delta	Endo_Lym	Endo_Vas	Ent_Co	Ent_Ileum	Epi_Aci	Epi_Duc	Epi_Gas	Epi_Krt_Lum	Fibro_Adr	Fibro_Brst	Fibro_EndN	Fibro_EpiN	Fibro_GI	Fibro_HT	Fibro_Mus	Fibro_Mus_AdipoP	Fibro_Myo	Fibro_Sk	Gob	Hema_Mast	IT_L2_3	IT_L4	IT_L5	IT_L6	LAMP5	Macrophage	Mic	Mono	Mus_Crd_Atr	Mus_Crd_Ven	Mus_Fast	Mus_Slow	NK_CD16	NK_CD56	NP	Neu_Schw	ODC	OPC	PVALB	Perivascular	SCT	SNCG	SST	Tmem_CD4	Tmem_CD8	Tnaive_CD4	Tnaive_CD8	VCT	VIP	ZG	ZR_ZF
11111111111111111111111111111111111111111111111111111111111111	7386188	P1	Not unique	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
00000000000000000000000000000000000000000000000000000000000000	2701391	P2	Not unique	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11111111111111111111111111111111111111111111111111101111110111	1583427	P3	Not unique	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1
11111111111111111111111111111111111111111111101111111111111111	380156	P4	Unique hypomethylated	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11111111111111111111111111111111111111111111111111111111110111	289816	P5	Unique hypomethylated	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
11111111111111111111111111111111111111111111111111110111111111	245122	P6	Unique hypomethylated	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
11111101111111111111111111111111111111111111111111111111111111	234064	P7	Unique hypomethylated	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11111101111111111111111111111111111111111111111111101111110111	224029	P8	Not unique	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1
11111111111111111111111111111111111111111111111111101111111111	210580	P9	Unique hypomethylated	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
11110101111111111111111111111111111111111111111111111111111111	194898	P10	Not unique	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
